id,title,publishedAt,viewCount,likeCount,commentCount
NPAnpvpHdlQ,BL体験談FINAL　他、振り返りなど【鈴鹿詩子/にじさんじ】,2024-06-12T15:34:14Z,490313,30773,902
kJFBwbiZYt0,最後の動画【鈴鹿詩子/にじさんじ】,2024-06-12T14:45:07Z,689766,47439,1929
M-CJlWG4PKo,メン限で『カラオケ行こ！』同時視聴配信！！！【鈴鹿詩子/にじさんじ】,2024-06-12T05:37:21Z,10436,355,14
-3tmnaIXHh4,メン限でワンピース2話目実写同時視聴配信！！！【鈴鹿詩子/にじさんじ】,2024-06-12T05:35:35Z,2317,90,1
noqrUeoQEaw,メン限でワンピース実写同時視聴配信！！！【鈴鹿詩子/にじさんじ】,2024-06-12T05:34:25Z,2731,100,2
CpMwI8Hl6Fg,鈴鹿詩子からの着信【元メン限の再公開】,2024-06-12T05:28:48Z,7190,370,12
X97cdhThd78,メン限でRRR同時視聴配信！！！【鈴鹿詩子/にじさんじ】,2024-06-12T05:28:43Z,3784,178,7
bsCoxD9CF1c,4月のメン限♡オタク彼女詩子とイチャイチャASMR【鈴鹿詩子/にじさんじ】,2024-06-12T05:26:54Z,32393,865,17
A1jseBjNINk,メン限♡オタク彼女にちょっぴり意地悪されたりイチャイチャするＡＳＭＲ～吐息・囁き・マッサージetc～【鈴鹿詩子/にじさんじ】【鈴鹿詩子/にじさんじ】,2024-06-12T05:26:43Z,28067,783,13
qu8_9rNsFyc,【※健全】メン限♡ドＳお姉さんのＡＳＭＲ～吐息・囁き・マッサージ・罵りetc～【鈴鹿詩子/にじさんじ】,2024-06-12T05:26:29Z,77040,2491,37
H5uPT4VB_Gw,ウィンターデートボイスで丸ごと没になったボイスです。【※元メン限の全公開】,2024-06-12T05:24:13Z,22501,1111,43
Bbi-di4G8wg,母からの着信【※元メン限の全公開】,2024-06-12T05:24:00Z,26256,774,43
hzOXDeDCdeA,鈴鹿詩子からの着信【※元メン限の全公開】,2024-06-12T05:23:53Z,9815,569,25
rP_pf2EK7Ug,鈴鹿詩子からの着信【※元メン限の全公開】,2024-06-12T05:23:45Z,4710,289,14
50rymakPi9A,鈴鹿詩子からの着信【※元メン限の全公開】,2024-06-12T05:23:29Z,5520,367,19
pnIeqauQC7c,鈴鹿詩子からの着信【※元メン限の全公開】,2024-06-12T05:23:11Z,41887,3271,98
jQRzA2c0lm0,ランチ食べたり雑談したりスパチャ読んだり【鈴鹿詩子/にじさんじ】,2024-06-12T05:15:36Z,51054,3584,28
