id,title,publishedAt,viewCount,likeCount,commentCount
DNITpSIYGsA,【POKEMON LEGENDS Z-A】MEGA DIMENSION DLC!! (jk bc zygarde wants to kill us) (╯°□°)╯︵◓,2025-12-13T05:53:55Z,10040,670,5
sXyZU-h5Z50,【LEAGUE OF LEGENDS】relaxing and chill league,2025-12-12T03:47:56Z,5565,488,8
r7rTOAmyGj0,"【POKEMON LEGENDS Z-A】we beat the tower, now what (╯°□°)╯︵◓",2025-12-11T08:30:36Z,6899,650,7
mHr_arB4PSU,【#SitRソウル AFTER TALK】ただいま！let's talk about the performance!!,2025-12-11T03:20:22Z,7359,847,19
1jhKkd5tFGs,【踊ってみた】⊹ ෆ ˚ ₊ IS THIS LOVE / XG ₊ ˚ ෆ ⊹ #XG #ISTHISLOVE #XG_ISTHISLOVE #XGALX,2025-12-11T03:00:02Z,17233,3063,44
geZKw4HKPfY,【踊ってみた】GRL GVNG / XG #XG #XGALX #GRLGVNG,2025-12-10T03:01:02Z,25129,4236,70
vszj2Xao3MU,【踊ってみた】🕹️ テトリス / 柊マグネタイトfeat.重音テトSV 👾 #テトリス #重音テト #重音テトSV #柊マグネタイト,2025-12-09T03:01:14Z,32164,4889,65
ycmsN29iIzg,【踊ってみた】🚪 コンココンコンココンコンコン 🚪 #コンココンコンココンコンコン #轟はじめ,2025-12-08T03:01:16Z,47629,6616,76
0qT-hDNf1Q8,【踊ってみた】Tick-Tack / ILLIT #ILLIT #아일릿 #Tick_Tack #Tick_Tack_CHALLENGE,2025-12-07T03:00:03Z,78527,9431,47
H5qgokfVIf8,【TEATIME W/ UKI】#SitRソウル it's tomorrow!! I'm so nervous!! 🥺,2025-12-06T16:12:34Z,12541,1254,14
fIvhNsijqGE,🌈 ソウル公演に向けて一生懸命練習しています！🌈 #SitRソウル #SitR서울 #にじさんじWORLDTOUR2025 #NIJISANJIWORLDTOUR2025,2025-12-05T03:00:55Z,77340,11253,146
AxmSxf1L7HU,【OFF COLLAB】💜 I remembered his promise 💙🍫,2025-12-04T12:20:43Z,15410,1555,21
BG5CeuKsf9k,【踊ってみた】body / DAYOUNG #다영 #DAYOUNG #BODY #bodychallenge,2025-12-03T03:00:13Z,88416,10524,104
mKjBIAADcrQ,【踊ってみた】💈 단발머리 (Short Hair) / AOA 💈 #단발머리 #shorthair #AOA,2025-12-01T03:01:03Z,38063,5509,112
mjtXwRPt4QY,【踊ってみた】👠 짧은 치마 (Miniskirt) / AOA 👠 #miniskirt #AOA,2025-11-29T04:00:50Z,55562,8491,228
QaSLnW-lRL0,me omw to fight you from across the world,2025-11-27T06:55:54Z,69791,7788,146
uH_nDQnD9e8,【踊ってみた】HOWL / Ayumu Imazu #HOWL #ayumuimazu,2025-11-26T12:59:14Z,409103,28931,118
gwvXPj6_amA,【POKEMON LEGENDS Z-A】grisham (╯°□°)╯︵◓,2025-11-25T08:38:39Z,7275,687,9
