id,title,publishedAt,viewCount,likeCount,commentCount
0MhfUgZwfh0,#ひとにやさしくWIN 大会本番Day1いちごたち、ひとにやさしくがんばります🍓 Splatoon3 #にじイカ祭り2025【にじさんじ】,2025-12-13T07:39:31Z,5617,460,3
w0J_8AeV0w0,つよくなりたいけど手がいたくてしにそうになってるので、みんなのおすすめのもち方コメントしておいてほしい🍓初・中級者の部  #ひとにやさしく #にじイカ祭り2025【にじさんじ】,2025-12-12T17:40:51Z,5481,459,3
FD7N7V5f108,初・中級者の部チーム6！Splatoon3 かおあわせるぞおおお！！！スプラの大会はじめて！！！がんばるぞ！！！ #にじイカ祭り2025【にじさんじ】,2025-12-11T17:03:09Z,9171,689,5
U4cVp5Ro7xc,スプラれんしゅう,2025-12-10T16:42:03Z,10072,895,4
XEKQt_J66lc,【ホロライブ】嫌がるラプ様を無理やり○○化！？ルーレットで描いてみたチャレンジ！ #ホロライブ #描いてみた #Vtuber #shorts 【にじさんじ/宇志海いちご】,2025-12-01T09:00:50Z,127037,9438,137
W7YPuYtMUmA,【メイキング】Vtuberがレゼちゃん描いてみた！💣 ♡#チェンソーマン #レゼ #chainsowman #reze #イラスト #アニメ #short 【宇志海いちご/にじさんじ】,2025-11-21T09:01:01Z,211709,21342,312
QhY3_5cMUco,🍓ちょーゲリラ！30分だけらくがき🍓,2025-10-01T14:23:50Z,7570,669,5
35O7wLkHnbg,ちょーゲリラ雑談🍓,2025-09-28T15:32:42Z,5638,717,5
Tq_jWw10res,【月曜が来ないカフェ】🍓🍳のどいたくて体調最悪うみうしですが、みんなをカフェにご招待！？☕🍓,2025-09-21T15:12:34Z,2706,370,2
iBHtCQnD8ps,【VALORANT】🍓👾ひさしぶりにすみれおねーちゃんとあそぶよ！たのしいでゅおVALORANT！💤🍓,2025-09-20T15:55:08Z,6762,536,3
oNALrhENX44,🌞🍓みんなでたべよ！！！あさごぱん！！！はむちーずとーすと編🍓🍞,2025-09-18T22:57:21Z,2850,417,4
9xQoi1Q_aq4,【デイヴ・ザ・ダイバー】#7🍓🐟うみうし、ひさしぶりにおさかなをとる。🍣🍓,2025-09-16T12:22:48Z,1707,301,1
4Kvvj7Tdiy0,【雀魂 -じゃんたま-】🀄🍓じゃんたま！段位戦！！！🍓🀄,2025-09-15T11:14:16Z,3308,412,2
B28qBsDKDos,【VALORANT】🍓🐱あかりおねーちゃんとたのしいでゅおVALORANT！💫🍓,2025-09-14T15:21:49Z,6536,686,2
bEJAlMz1qwA,【たまごっちのプチプチおみせっち おまちど〜さま!】#6 🍓ひさしぶりのおみせっち！たのしもうね！いちごっちごちごっち🍓,2025-09-06T00:08:45Z,1917,288,0
CNhrcHFwXsQ,🌞🍓みんなでたべよ！！！あさごぱん！！！いちごジャムマシュマロトースト編🍓🍞,2025-09-04T22:54:37Z,2660,401,5
Qalrz8rbWDo,【Smushi Come Home】#2🍓🍄スムシといっしょにおうちにかえろう！🍄🍓,2025-09-04T12:09:10Z,1352,297,1
eQ0Ib_2JiQQ,【雀魂 -じゃんたま-】🀄🍓ひさびさじゃんたま！段位戦！！！🍓🀄,2025-09-03T11:44:04Z,2712,367,2
b4aHS4yAslU,【冒険ダンジョン村】#3🍓💰冒険者をあつめておかねかせぎ！ちょっときどうにのってきた？💰🍓,2025-09-02T12:07:54Z,1491,298,0
RuIYuLHWa4w,【Loddlenaut】🍓🐟そだてルードル！！！このせかいでも宇志海いちごをつくりたい！！！🧹🍓,2025-09-01T12:15:43Z,1590,300,2
3nq0-Xe4WVs,【月曜が来ないカフェ】🍓🍳８月最後の雑談はみんなをカフェにご招待！？☕🍓,2025-08-31T09:50:26Z,2443,393,1
c5wvTgIQ9So,🍓アンデルセン童話にんぎょ姫同時視聴！！！🍓,2025-08-30T09:07:59Z,1385,274,1
otKqi9AzkE0,🌙🍓みんなでたべよ！！！よるごはん！！！かわいいくまさんオムライス編🍓🐻,2025-08-29T11:51:04Z,2866,461,3
kXNz68EpjXU,【Smushi Come Home】🍓🍄スムシといっしょにおうちにかえろう！🍄🍓,2025-08-27T08:18:35Z,2988,430,4
WV_DhvT1y-I,【冒険ダンジョン村】#2🍓💰冒険者をあつめておかねかせぎ！借金はいやだ💰🍓,2025-08-26T11:13:53Z,2474,430,2
THvhdy07CNg,【Loddlenaut】🍓🐟おそうじしながらルードルさがし🧹🍓,2025-08-25T14:05:13Z,4524,543,2
PKdm-FAgiWw,🍓🍰べりーおねーちゃんとのコラボをおもいだしながら絵日記をかく！！！🧁🍓,2025-08-24T13:28:12Z,7233,806,2
Ilre3N93s1o,【OW2】🍓ひろぽんじいじうみうしがゆく！OVERWATCH２🍓,2025-08-23T17:11:00Z,2581,299,3
WL6S7Asjwkk,🌞🍓みんなでたべよ！！！おひるごぱん！！！はむちーけちゃたまトースト編🍓🍞,2025-08-22T04:44:52Z,4035,583,5
u4qzrElhRog,【冒険ダンジョン村】🍓💰冒険者をあつめておかねかせぎ！💰🍓,2025-08-20T06:35:28Z,4151,525,6
JQ01LwgeAbo,【Loddlenaut】🍓🐟うみうし、うみのおそうじをする🧹🍓,2025-08-19T12:40:26Z,5547,689,3
79Ui3CC4M_M,【たまごっちのプチプチおみせっち おまちど〜さま!】#５ 🍓ござるっちのおみせといちごっちごちごっち🍓,2025-08-17T05:50:56Z,3447,446,6
GoJaIchMfds,【デイヴ・ザ・ダイバー】#6🍓🐟うみうし、おさかなをとる。🍣🍓,2025-08-16T09:49:23Z,4488,543,2
5-01xvQlLNY,🍓🍰いちごの日！ベリーな二人でいっしょに絵日記かくよ！【宇志海いちご/早乙女ベリー】🧁🍓,2025-08-15T14:13:01Z,30782,3042,10
YZ8wLxgvhpQ,今日はのんびり雑談配信の日🍓,2025-08-13T11:26:30Z,4637,690,5
fQOfmattg3E,【デイヴ・ザ・ダイバー】#5🍓🐟うみうし、おさかなをとる。🍣🍓,2025-08-11T10:14:40Z,4860,599,2
LipYI3M2IyE,【たまごっちのプチプチおみせっち おまちど〜さま!】#4 🍓おひるのえいぎょうかいしだよ！いちごっちごちごっち🍓,2025-08-10T06:42:06Z,3774,448,4
roEnmLu4i_o,【Sizeable】なんかかわいいパズルゲームみつけちゃったからやってみる🍓,2025-08-09T06:38:21Z,4610,556,3
0QKL990vnOM,🌞🍓みんなでたべよ！！！あさごめん！！！たまごっちのカップめん編🍓🍜,2025-08-08T01:24:22Z,6324,798,3
S7GT4cLqG24,【たまごっちのプチプチおみせっち おまちど〜さま!】#3 🍓今日もあついけど！のんびりがんばろう！いちごっちごちごっち🍓,2025-08-03T04:40:29Z,6510,651,5
-xVsBvmO-7E,【OW2】🍓たまごっちまでオーバーウォッチ！🍓,2025-08-03T01:04:39Z,3780,390,3
18AABLXKOQk,【デイヴ・ザ・ダイバー】#4🍓🐟うみうし、おさかなをとる。🍣🍓,2025-08-02T14:48:18Z,4946,612,2
II46Yxo36HY,７月さいごの雑談配信！するぞ～！！！🍓,2025-07-30T09:22:36Z,9840,931,8
MKrb2ER7K1c,【デイヴ・ザ・ダイバー】#3🍓🐟うみうし、おさかなをとる。🍣🍓,2025-07-29T16:00:39Z,6252,706,2
rPbD8m_f7AQ,【たまごっちのプチプチおみせっち おまちど〜さま!】#2 🍓今日もおみせではたらくよ！いちごっちごちごっち🍓,2025-07-27T05:16:38Z,7895,705,4
H8_xyeTYU3c,【たまごっちのプチプチおみせっち おまちど〜さま!】#1 🍓いちごっち、おみせをひらく！🍓,2025-07-26T04:10:21Z,8597,833,7
l1NZh9juU64,【Donut County】いちごはドーナツのあなになります🍩🍓,2025-07-24T06:29:00Z,3614,496,3
ZUmwBoADRZ0,【VALORANT】🍓どきどきわくわくたのしいフルパVALORANT！🍓,2025-07-23T12:46:21Z,5732,447,3
MUxuvSxw_Bc,【OW2】🍓オーバーウォッチ、しよっかな～～～～～～🍓,2025-07-21T19:56:03Z,4402,484,1
dNY0sSh88Xc,【デイヴ・ザ・ダイバー】#2🍓🐟うみうし、おさかなをとる。🍣🍓,2025-07-21T09:19:59Z,7558,859,3
qpPL3ztAm94,🍓サンリオ世界名作映画館 ハローキティのシンデレラ 同時視聴！！！🍓,2025-07-20T07:52:15Z,1512,286,2
