id,title,publishedAt,viewCount,likeCount,commentCount
Re2BCTM7s1M,【Members Watchalong】! 10 Things I Hate About You,2024-11-15T01:19:36Z,1919,222,17
FsCLuOTkbUg,【Members Watchalong】Gugure! Kokkuri-San,2024-11-15T01:19:34Z,1261,216,7
xwvZauH-2aA,【Members Watchalong】Gugure! Kokkuri-San Ep 5 -8!,2024-11-15T01:19:32Z,561,106,6
jFXfAXVO3hI,【Members Watchalong】Gugure! Kokkuri-San Ep 9-12!,2024-11-15T01:19:29Z,630,121,3
U-sUQATU950,【Members Watchalong】Pretty Woman,2024-11-15T01:19:26Z,633,124,7
btdVIHv1nJo,【Members Watchalong】You've Got Mail,2024-11-15T01:19:23Z,493,92,6
HUAnjLlKZkM,【Members Watchalong】The Bear Season 1 EP 1 - 3,2024-11-15T01:19:20Z,647,103,7
dhbKfuX2Kfc,【Members Watchalong】The Bear Season 1 EP 4 - 6,2024-11-15T01:19:18Z,392,67,7
7NaIc3576W4,【Members Watchalong】The Bear Season 1 EP 7 - 8 / Season 2 EP 1,2024-11-15T01:19:15Z,413,84,4
gJ9j3qexcyk,【Members Watchalong】The Bear Season 2 EP 2 - 4,2024-11-15T01:19:12Z,961,179,19
vGqhdjuVTaQ,【Members Watchalong】The Bear Season 2 EP 5 - 7,2024-11-15T01:19:09Z,677,131,5
LDDRX-fbhYs,【Members Watchalong】The Bear Season 2 EP 8 - 10,2024-11-15T01:19:06Z,794,118,6
-Pq0VXzzBT0,【Totsu & Doodlin' - PT 2】Thank you for all the adventures!,2024-11-09T08:58:15Z,84132,6331,265
4C5RrJVDIA0,【Totsu & Doodle - PT 1】,2024-11-08T22:58:26Z,19957,2365,16
boyIi2MAHFo,"【HIGHLIGHTS】Tonight, Victoria Joins the Hunt - Bloodborne Bosses Final",2024-11-08T17:00:39Z,3150,523,39
6fuPmOGkq9Y,【Karaoke】It's Like Hearing An Animal Screech and Cry Edition【NIJISANJI EN | Victoria Brightshield】,2024-11-08T04:44:40Z,29962,3311,45
nRY3PYOz5VI,【Monster Hunter Rise】last hunt for the road!! 【NIJISANJI EN | Victoria Brightshield】,2024-11-07T07:23:15Z,7207,1075,16
-d7evAgsq4o,【Headbangers】PLAYING WITH MY 2 LEFT FEET【NIJISANJI EN | Victoria Brightshield】,2024-11-06T05:27:32Z,6912,973,11
fD3wufM_iag,【Street Fighter 6】come play..【NIJISANJI EN | Victoria Brightshield】,2024-11-05T08:25:05Z,12146,1290,12
yJG2NzV-9Jk,【Signalis- PT.3】to try again【NIJISANJI EN | Victoria Brightshield】,2024-11-03T00:40:05Z,5545,843,15
2UMDhXIxT7M,【LOCKDOWN Protocol】THEY'RE STUCK IN THERE.. WITH.. ME!!【NIJISANJI EN | Victoria Brightshield】,2024-11-02T04:25:53Z,6767,956,10
zGG0Al0hHoA,【Fright Night Intro 】,2024-11-01T18:17:11Z,3719,769,43
ikviJOG4idg,【Halloween!!】🧛‍♀️ TRICK OR TREAT! 🍫🎃【NIJISANJI EN | Victoria Brightshield】,2024-11-01T04:28:57Z,7899,1278,19
jstyPiTd2jo,【Lethal Company】WITH SOME NEW FRIENDS!! 【NIJISANJI EN | Victoria Brightshield】,2024-10-30T04:24:21Z,7963,1011,12
E8ts_v6rETw,【Fast Food Sim】86 THOSE FRIES!! 🍟【NIJISANJI EN | Victoria Brightshield】,2024-10-29T06:32:03Z,13743,1551,20
4_HTChUebIA,【#TTTANNIVERSARY 】just a couple of bros having some fun :3c【NIJISANJI EN | Victoria Brightshield】,2024-10-28T00:14:17Z,31320,3381,66
eyL8xmqAiQs,【Signalis- PT.2】trying to look for my android waifu..【NIJISANJI EN | Victoria Brightshield】,2024-10-27T08:35:25Z,11955,1606,15
Hk-DXFsWRsc,【Amnesia: The Bunker】ERM.. KURAIYO.. KOWAIYO【NIJISANJI EN | Victoria Brightshield】,2024-10-26T06:44:00Z,10133,1508,23
uxbLtDAoQNI,hey,2024-10-24T06:55:28Z,87444,6613,523
bhXCaMi6520,【Signalis】i love pretty android women w/ @bluebellscript  🎐💉【NIJISANJI EN | Victoria Brightshield】,2024-10-23T07:16:26Z,10005,1058,12
ILUG91NPtoU,【3.0 BRUSHUP】its my little inside out!!【NIJISANJI EN | Victoria Brightshield】,2024-10-19T03:45:26Z,11877,1752,32
wj9ICDuDogQ,【Outer Wilds - PT 2】SPAAAAAAAAAAAAAAAAAACE【NIJISANJI EN | Victoria Brightshield】,2024-10-18T07:58:16Z,3649,596,7
7nc2T-XSVSY,【Mouthwashing】i have eyes but i must scream【NIJISANJI EN | Victoria Brightshield】,2024-10-16T05:44:14Z,6420,823,9
PFEXaLChXO8,【Watchalong - Parkour Civilization】idk im too old for this【NIJISANJI EN | Victoria Brightshield】,2024-10-15T05:05:56Z,5115,622,8
FDck9vFIOzE,【Lethal Company】Why Does Everyone Else Look So Excited【NIJISANJI EN | Victoria Brightshield】,2024-10-09T07:30:33Z,5461,794,6
lifv6_FPvCU,hoi!,2024-10-08T04:55:29Z,8178,1092,24
trW9mXkC_aA,【HIGHLIGHTS】Fear the Old Vicotira - Bloodborne Bosses PT II,2024-10-06T17:23:04Z,3086,480,41
MS78BuflUCc,【Street Fighter 6 - SAJAM SLAM 】 FINALS WATCHALONG 【NIJISANJI EN | Victoria Brightshield】,2024-09-22T00:38:47Z,18386,962,23
5u5JDpwGCV8,【Street Fighter 6】trying to DREAM【NIJISANJI EN | Victoria Brightshield】,2024-09-17T07:34:14Z,14920,1113,10
at7etGbNyfQ,【HIGHLIGHTS】Bloodborne Bosses! - PT 1,2024-09-12T15:00:05Z,3874,666,43
5vl1ZXKhfVg,【Street Fighter 6】🏀 SAJAM SLAM 🏀 TEAM SHINE【NIJISANJI EN | Victoria Brightshield】,2024-09-09T02:25:32Z,17702,1230,33
CKAFeJU33d4,【Street Fighter 6】🏀 SAJAM SLAM 🏀 TEAM SHINE - ROUND ROBIN #2【NIJISANJI EN | Victoria Brightshield】,2024-09-07T02:46:32Z,19086,1358,27
YfhbIbYAMi4,【Street Fighter 6】🏀 SAJAM SLAM 🏀 TEAM SHINE - ROUND ROBIN #1【NIJISANJI EN | Victoria Brightshield】,2024-09-05T03:09:00Z,27650,1910,33
2bnVvf0MrmE,【Street Fighter 6】Trying to get comfy with Ed 🥺🥺🥺【NIJISANJI EN | Victoria Brightshield】,2024-08-31T06:27:27Z,13289,1028,16
III9R44RiVg,【Monster Hunter Rise】MORE HUNTING WITH JOWOL!【NIJISANJI EN | Victoria Brightshield】,2024-08-29T03:27:17Z,7657,935,14
fEbMlYQGF70,【Street Fighter 6】trying out Ed!!【NIJISANJI EN | Victoria Brightshield】,2024-08-28T07:10:17Z,15270,1307,25
cVle88OX0DU,【Street Fighter 6】HOI I FORGOR HOW 2 PLAY LETS GOO 🥴【NIJISANJI EN | Victoria Brightshield】,2024-08-27T07:33:05Z,14130,1270,36
obxGGYP_SWo,【Monster Hunter Rise】MORE HUNTING - BRB COOKING 【NIJISANJI EN | Victoria Brightshield】,2024-08-24T04:50:10Z,4983,629,6
eIgBOaaNf_w,【Outer Wilds】Going to Touch Some Space Grass I Guess??【NIJISANJI EN | Victoria Brightshield】,2024-08-21T07:54:44Z,5943,826,11
QLLJENiHO0M,【Monster Hunter Rise】won't you be a PAL and cart me along 😊 【NIJISANJI EN | Victoria Brightshield】,2024-08-17T05:46:38Z,5574,743,11
P_b7DUDiTZ0,【Monster Hunter Rise】help me out paladins!【NIJISANJI EN | Victoria Brightshield】,2024-08-10T03:43:04Z,5462,754,11
FTFRCfRdluI,"【Handcam】Got a Box of JP Snacks, Let's Hang Out!【NIJISANJI EN | Victoria Brightshield】",2024-08-09T05:55:51Z,7781,982,11
d1M5yb5X_vA,【Thank Goodness You're Here】This is Great Innit?【NIJISANJI EN | Victoria Brightshield】,2024-08-08T07:35:09Z,10354,886,22
gSvMxEX1e2E,"【Hookah Haze】No, I Can't Fix Her ⚠️SPOILERS ⚠️【NIJISANJI EN | Victoria Brightshield】",2024-08-07T05:47:43Z,4432,651,12
QfEmLcSUgHc,【Monster Hunter Rise】am noob hunter【NIJISANJI EN | Victoria Brightshield】,2024-08-02T06:00:06Z,6163,757,11
R-yAkioE-cA,【Hookah Haze】Let's Talk to Pretty Anime Girls!【NIJISANJI EN | Victoria Brightshield】,2024-07-31T07:17:01Z,5949,776,12
1MAzAPfq2GA,【Red Dead Redemption 2 - PT. 4】The Bounty on Me is FALSE 🤠【NIJISANJI EN | Victoria Brightshield】,2024-07-27T06:45:21Z,3655,594,8
tnMpaXsvhwU,【Darkest Dungeon - PT.3】overconfidence is a slow and insidious killer,2024-07-26T04:56:04Z,4045,653,12
X_cPtz8f2aY,【SF6】hello cammy!!【NIJISANJI EN | Victoria Brightshield】,2024-07-24T08:03:36Z,8659,977,10
9J4kHcygcyU,【Darkest Dungeon - PT.2】have you guys considered not being so stressed??,2024-07-13T09:00:11Z,5200,781,9
uhtdqLqH6v0,【Darkest Dungeon】kuraiyo.. kowaiyo..【NIJISANJI EN | Victoria Brightshield】,2024-07-12T08:05:56Z,6350,871,11
8iDCtijlsxA,【Pacific Drive】You Trust My Driving Right? 🙂【NIJISANJI EN | Victoria Brightshield】,2024-07-10T08:23:01Z,5031,770,7
_41Qa5uf3qk,【Chained Together】oh nyooo stuck together w/my cute senpai.. 🥵【NIJISANJI EN | Victoria Brightshield】,2024-07-06T05:47:48Z,11726,1214,22
TiolRcPTskI,【Red Dead Redemption 2 - PT. 3】OUT IN THE WEST 🤠【NIJISANJI EN | Victoria Brightshield】,2024-07-05T08:13:01Z,3872,673,10
Zy_n-IXzWJA,【Summer Steam Sale Window Shopping!】,2024-07-04T07:19:38Z,7433,954,11
4fOC4CpJR6w,【Devil May Cry 3 - PT.5 】I'M FEELINNG MOTIVATED【NIJISANJI EN | Victoria Brightshield】,2024-07-03T07:45:22Z,5286,825,11
2VKmW7Dr0A8,【The Quarry - PT.3】SUMMER CAMP GONE WRONG WITH KUNAI ❗😱【NIJISANJI EN | Victoria Brightshield】,2024-06-29T22:36:10Z,4406,613,11
D_SmGXOU5Mo,【Red Dead Redemption 2 - PT. 2】ON THE RUN 🤠【NIJISANJI EN | Victoria Brightshield】,2024-06-29T05:41:22Z,5100,830,11
MNCKloIoKPc,【Chained Together】chained myself with the homies marimari_en & miia,2024-06-28T07:12:36Z,7445,1031,8
irVtnYO3cU0,【Devil May Cry 3 - PT.4 】ROCK ON!! 🤘【NIJISANJI EN | Victoria Brightshield】,2024-06-26T07:30:56Z,5107,775,16
JYtFy6mkTnY,【】【NIJISANJI EN | Victoria Brightshield】,2024-06-25T23:10:15Z,0,1,0
jzEej10XJGI,【The Quarry】this is why i stay indoors!!【NIJISANJI EN | Victoria Brightshield】,2024-06-22T19:32:34Z,5322,750,10
SeQi9-guh6Q,【Red Dead Redemption 2】gonna start my yee and end with a haw 🤠【NIJISANJI EN | Victoria Brightshield】,2024-06-22T03:11:23Z,4019,723,15
45CuxVuJ41U,【Devil May Cry 3 - PT.3 】back to this wacky castle【NIJISANJI EN | Victoria Brightshield】,2024-06-21T07:30:13Z,5131,825,15
2QDr7YNkCEE,chill yapping you fell asleep 2,2024-06-19T07:52:07Z,5071,840,16
2wx4YYAobfw,【Duck Detective】I'm Going to Quack this Case!【NIJISANJI EN | Victoria Brightshield】,2024-06-15T05:52:09Z,5089,838,11
986TZx0TpIk,henlo【NIJISANJI EN | Victoria Brightshield】,2024-06-13T06:43:25Z,10325,1428,24
I-yU5zSisFQ,【The Quarry】Surviving Summer Camp with Kunai!【NIJISANJI EN | Victoria Brightshield】,2024-06-02T01:38:05Z,9266,1095,13
40Sk93jWkT4,【Shadows of Doubt】Detective Vivi On The Case!【NIJISANJI EN | Victoria Brightshield】,2024-06-01T05:29:30Z,6120,949,11
KGAf7IhiSY4,【For the King】FANTASY MOU MAN TAI PARTY w/Fumi & Ori!【NIJISANJI EN | Victoria Brightshield】,2024-05-30T05:48:23Z,6304,892,9
gVHopCN2Da4,【SF6】Let's Take On Akuma Together!【NIJISANJI EN | Victoria Brightshield】,2024-05-28T07:18:50Z,12699,1384,16
J1eAocc_Vxg,【Apex Legends】MOU MAN TAI GANG w/Fumi & Ori!【NIJISANJI EN | Victoria Brightshield】,2024-05-24T05:52:55Z,5189,628,14
G603f7Cydnw,【Crow Country - PT 2】It's Summer 1990 and it's STILL MY Turn【NIJISANJI EN|Victoria Brightshield】,2024-05-18T05:22:53Z,3471,579,12
JB7bYxN6-_M,【Apex Legends】MM GOI GIVE ME A 301 COLLAB w/Fumi & Ori!【NIJISANJI EN | Victoria Brightshield】,2024-05-17T05:25:23Z,7003,772,10
mE6Y278Wueg,【A Way Out】Two Silly Glorps Messin' Around PT. 3【NIJISANJI EN | Victoria Brightshield】,2024-05-11T23:09:14Z,2753,417,8
Cq1YbSq1CVA,【Rabbit & Steel】LF Week One Clears Need BIS【NIJISANJI EN | Victoria Brightshield】,2024-05-11T03:39:02Z,5586,653,9
UqRDQgJjXOY,【Crow Country】It's 1999 and You're At A Sleepover with Paladins【NIJISANJI EN|Victoria Brightshield】,2024-05-10T08:00:30Z,5661,859,15
d3SCt38m4FQ,【Short Blabbering】,2024-05-07T07:05:31Z,6397,859,19
9mRAfao-uDo,【A Way Out】Mean Muggin' PT. 2【NIJISANJI EN | Victoria Brightshield】,2024-05-05T00:03:33Z,3525,547,8
wl-qHXYUBfc,【Goose Goose Duck】quack a mongoose【NIJISANJI EN | Victoria Brightshield】,2024-05-04T02:44:20Z,7251,850,10
LB18u8ztHGY,【Tekken 8】She's not going to sugar coat it! with Nova! 💪【NIJISANJI EN | Victoria Brightshield】,2024-05-03T02:55:30Z,7867,837,8
