id,title,publishedAt,viewCount,likeCount,commentCount
b03oaQOBGs8,"No, I'm Not A Human",2025-12-07T18:54:53Z,24831,2033,34
ElLxXWmOuXM,BABY STEPS,2025-12-06T15:23:24Z,15982,1507,40
1tM95YJqqt8,Chill Milord Sounds to Relax & Study To,2025-12-03T12:55:02Z,15923,1541,36
x1rPduzr5FI,【ANIMAL CROSSING FIRST TIME】i am da mayor【NIJISANJI EN | Vox Akuma】,2025-12-02T16:31:17Z,24980,2050,40
XCwI85D9Vl0,i miss the ocean,2025-11-30T20:02:43Z,21015,1885,36
FJmVNKAAU_U,what happened?,2025-11-29T16:12:10Z,28977,2118,70
Kpfl_82dl7I,【ZATSUSCAPE】THERE IS A NEW SKILL FOR THE FIRST TIME IN 13 YEARS【NIJISANJI EN | Vox Akuma】,2025-11-21T14:11:52Z,10588,992,28
v4Ex4ECsw9A,yeah i miss you 😡,2025-11-15T03:18:50Z,15784,1365,45
QoO9pv_7NnE,【ANNO 117: PAX ROMANA】This is My Roman Empire【NIJISANJI EN | Vox Akuma】,2025-11-11T12:07:27Z,11001,1052,39
WBTQ0MPZ29E,【POKEMON LEGENDS ZA】the quest for the biggest Guy【NIJISANJI EN | Vox Akuma】,2025-11-06T20:15:15Z,22722,1656,40
nf1j-_-GA_c,THE DEMON HUNGERS👹 2 YEAR ANNIVERSARY❤️,2025-11-05T16:29:56Z,17186,1938,63
1KovFC1jkHw,【MC ETERNAL 2】its tiiiiiiiiiiiiiiiiiiiiime【NIJISANJI EN | Vox Akuma】,2025-11-01T20:28:56Z,20746,1390,81
Tbo3-Kl_F4Y,【MINECRAFT HALLOWEEN EVENT】ESCAPE FROM MR BONES???【NIJISANJI EN | Vox Akuma】,2025-10-31T18:33:15Z,17845,1319,37
fmtz5lND684,【MC ETERNAL 2】IF I DONT PLAY MINECRAFT RN IM GONNA **** ** ******【NIJISANJI EN | Vox Akuma】,2025-10-28T21:58:38Z,32451,1893,75
uEavugPhUqk,【AMONG US 3D VOX POV】kills you epic style【NIJISANJI EN | Vox Akuma】,2025-10-24T14:33:38Z,22346,1757,50
FVi5NgTsBCs,【HORROR TOLERANCE TEST】vox akuma is the scariest guy i've seen in my life【NIJISANJI EN | Vox Akuma】,2025-10-22T22:57:35Z,32696,2289,32
NcbirMfN-G0,That Time a Demon Hid Inside My Vape - 3.0 Reveal,2025-10-21T15:56:25Z,34395,2952,85
bz8GJI-Syn4,im back and life is pain,2025-10-18T20:12:30Z,30910,2338,43
rLQhAHl8SQs,【MC ETERNALS 2 w/ ZADDY】the party ended 2 weeks ago and im still here【NIJISANJI EN | Vox Akuma】,2025-10-13T20:44:56Z,42086,2389,25
zIMfZMKHDxQ,【IN-CHARACTER COLLAB】KNIGHTS OF ARS vs NEW WITCHINGTON【Mage Arena】,2025-10-04T08:38:55Z,18197,1427,19
NLA5WvT15A0,【FULL 3D GAMING STREAM】KRISIS PLAY HELP WANTED VR,2025-10-03T12:25:21Z,72387,6461,85
6oHAPoCeBp4,From the Desk of the Wizard - Writing Letters to the V-CRAFT ENCHANTED Townsfolk,2025-10-01T12:53:45Z,13196,1419,33
